episode,total_steps,cumulative_key_pickups,cumulative_door_opens,cumulative_door_crosses,cumulative_ball_pickups,cumulative_goal_reaches
1,1,0,0,0,0,0
1,3,0,0,0,0,0
1,6,0,0,0,0,0
1,10,0,0,0,0,0
1,15,0,0,0,0,0
1,21,0,0,0,0,0
1,28,0,0,0,0,0
1,36,0,0,0,0,0
1,45,0,0,0,0,0
1,55,0,0,0,0,0
1,66,0,0,0,0,0
1,78,0,0,0,0,0
1,91,0,0,0,0,0
1,105,0,0,0,0,0
1,120,0,0,0,0,0
1,136,0,0,0,0,0
1,153,0,0,0,0,0
1,171,0,0,0,0,0
1,190,0,0,0,0,0
1,210,0,0,0,0,0
1,231,0,0,0,0,0
1,253,0,0,0,0,0
1,276,0,0,0,0,0
1,300,0,0,0,0,0
1,325,0,0,0,0,0
1,351,0,0,0,0,0
1,378,0,0,0,0,0
1,406,0,0,0,0,0
1,435,0,0,0,0,0
1,465,0,0,0,0,0
1,496,0,0,0,0,0
1,528,0,0,0,0,0
1,561,0,0,0,0,0
1,595,0,0,0,0,0
1,630,0,0,0,0,0
1,666,0,0,0,0,0
1,703,0,0,0,0,0
1,741,0,0,0,0,0
1,780,0,0,0,0,0
1,820,0,0,0,0,0
1,861,0,0,0,0,0
1,903,0,0,0,0,0
1,946,0,0,0,0,0
1,990,0,0,0,0,0
1,1035,0,0,0,0,0
1,1081,0,0,0,0,0
1,1128,0,0,0,0,0
1,1176,0,0,0,0,0
1,1225,0,0,0,0,0
1,1275,0,0,0,0,0
1,1326,0,0,0,0,0
1,1378,0,0,0,0,0
1,1431,0,0,0,0,0
1,1485,0,0,0,0,0
1,1540,0,0,0,0,0
1,1596,0,0,0,0,0
1,1653,0,0,0,0,0
1,1711,0,0,0,0,0
1,1770,0,0,0,0,0
1,1830,0,0,0,0,0
1,1891,0,0,0,0,0
1,1953,0,0,0,0,0
1,2016,0,0,0,0,0
1,2080,0,0,0,0,0
1,2145,0,0,0,0,0
1,2211,0,0,0,0,0
1,2278,0,0,0,0,0
1,2346,0,0,0,0,0
1,2415,0,0,0,0,0
1,2485,0,0,0,0,0
1,2556,0,0,0,0,0
1,2628,0,0,0,0,0
1,2701,0,0,0,0,0
1,2775,0,0,0,0,0
1,2850,0,0,0,0,0
1,2926,0,0,0,0,0
1,3003,0,0,0,0,0
1,3081,0,0,0,0,0
1,3160,0,0,0,0,0
1,3240,0,0,0,0,0
1,3321,0,0,0,0,0
1,3403,0,0,0,0,0
1,3486,0,0,0,0,0
1,3570,0,0,0,0,0
1,3655,0,0,0,0,0
1,3741,0,0,0,0,0
1,3828,0,0,0,0,0
1,3916,0,0,0,0,0
1,4005,0,0,0,0,0
1,4095,0,0,0,0,0
1,4186,0,0,0,0,0
1,4278,0,0,0,0,0
1,4371,0,0,0,0,0
1,4465,0,0,0,0,0
1,4560,0,0,0,0,0
1,4656,0,0,0,0,0
1,4753,0,0,0,0,0
1,4851,0,0,0,0,0
1,4950,0,0,0,0,0
1,5050,0,0,0,0,0
2,5051,0,0,0,0,0
2,5053,0,0,0,0,0
2,5056,0,0,0,0,0
2,5060,0,0,0,0,0
2,5065,0,0,0,0,0
2,5071,0,0,0,0,0
2,5078,0,0,0,0,0
2,5086,0,0,0,0,0
2,5095,0,0,0,0,0
2,5105,0,0,0,0,0
2,5116,0,0,0,0,0
2,5128,0,0,0,0,0
2,5141,0,0,0,0,0
2,5155,0,0,0,0,0
2,5170,0,0,0,0,0
2,5186,0,0,0,0,0
2,5203,0,0,0,0,0
2,5221,0,0,0,0,0
2,5240,0,0,0,0,0
2,5260,0,0,0,0,0
2,5281,0,0,0,0,0
2,5303,0,0,0,0,0
2,5326,0,0,0,0,0
2,5350,0,0,0,0,0
2,5375,0,0,0,0,0
2,5401,0,0,0,0,0
2,5428,0,0,0,0,0
2,5456,0,0,0,0,0
2,5485,0,0,0,0,0
2,5515,0,0,0,0,0
2,5546,0,0,0,0,0
2,5578,0,0,0,0,0
2,5611,0,0,0,0,0
2,5645,0,0,0,0,0
2,5680,0,0,0,0,0
