episode,reward,steps,duration,epsilon
1,-1.00,100,0.27,0.9950
2,0.39,62,0.15,0.9900
3,-1.00,100,0.28,0.9851
4,-1.00,100,0.13,0.9801
5,-1.00,100,0.13,0.9752
6,-1.00,100,0.12,0.9704
7,-1.00,100,0.14,0.9655
8,-1.00,100,0.14,0.9607
9,-1.00,100,0.14,0.9559
10,-1.00,100,0.13,0.9511
11,0.36,65,2.48,0.9464
12,0.35,66,4.42,0.9416
13,-1.00,100,6.71,0.9369
14,-1.00,100,6.69,0.9322
15,-1.00,100,6.57,0.9276
16,-1.00,100,6.63,0.9229
17,-1.00,100,6.58,0.9183
18,-1.00,100,6.59,0.9137
19,0.36,65,4.25,0.9092
20,-1.00,100,6.71,0.9046
